,class,address
20109,3.708,/home/sanchit/Desktop/app/Selfie-dataset/images/10254056_300693446755038_631106452_a.jpg
16140,4.687,/home/sanchit/Desktop/app/Selfie-dataset/images/10246205_1409513062651176_342054804_a.jpg
10408,5.405,/home/sanchit/Desktop/app/Selfie-dataset/images/10175266_1412331945696613_1747182607_a.jpg
39475,4.004,/home/sanchit/Desktop/app/Selfie-dataset/images/8020547aa2db11e3a84f12dfa62606e4_6.jpg
190,2.0,/home/sanchit/Desktop/app/blurData/defocused_blurred/109_HONOR-7X_F.jpg
37417,3.967,/home/sanchit/Desktop/app/Selfie-dataset/images/1742325_673517419361857_520737464_a.jpg
684,7,/home/sanchit/Desktop/app/menWomen/women/00001935.jpg
17683,3.585,/home/sanchit/Desktop/app/Selfie-dataset/images/10249177_228322557357037_42514009_a.jpg
35155,4.428,/home/sanchit/Desktop/app/Selfie-dataset/images/1530832_1398829997061009_1248551269_a.jpg
13718,5.287,/home/sanchit/Desktop/app/Selfie-dataset/images/10246012_596186853803876_1504014670_a.jpg
45507,3.906,/home/sanchit/Desktop/app/Selfie-dataset/images/928498_1478145329070740_1957157935_a.jpg
436,2,/home/sanchit/Desktop/app/manual_dataset/2/IMG-20200207-WA0009.jpg
5616,3.712,/home/sanchit/Desktop/app/Selfie-dataset/images/10012547_585561848208336_792972108_a.jpg
15331,4.971,/home/sanchit/Desktop/app/Selfie-dataset/images/10246139_266121193558977_1350568722_a.jpg
34795,5.03,/home/sanchit/Desktop/app/Selfie-dataset/images/1530663_605401209538230_1769545685_a.jpg
30060,4.447,/home/sanchit/Desktop/app/Selfie-dataset/images/1515167_1412469752348196_867250837_a.jpg
713,7,/home/sanchit/Desktop/app/menWomen/men/00001633.jpg
500,3,/home/sanchit/Desktop/app/manual_dataset/2/IMG_20200401_121419.jpg
2,1,/home/sanchit/Desktop/app/fashionData/badSamples/img_00036082.jpg
4725,4.359,/home/sanchit/Desktop/app/Selfie-dataset/images/10011459_266443140192109_432402288_a.jpg
43274,3.034,/home/sanchit/Desktop/app/Selfie-dataset/images/927028_276503459183284_1150327003_a.jpg
34772,3.618,/home/sanchit/Desktop/app/Selfie-dataset/images/1530655_258972087608670_505366192_a.jpg
12841,2.45,/home/sanchit/Desktop/app/Selfie-dataset/images/10245946_526989370755390_415549415_a.jpg
14797,5.58,/home/sanchit/Desktop/app/Selfie-dataset/images/10246096_575261775905421_880173419_a.jpg
85,4,/home/sanchit/Desktop/app/manual_dataset/3/IMG-20200207-WA0013.jpg
571,4.829,/home/sanchit/Desktop/app/Selfie-dataset/images/10005231_704550962930080_647058857_a.jpg
20702,4.588,/home/sanchit/Desktop/app/Selfie-dataset/images/10254114_385310718275429_771704027_a.jpg
11334,5.577,/home/sanchit/Desktop/app/Selfie-dataset/images/10175340_256839144519681_755635286_a.jpg
710,1,/home/sanchit/Desktop/app/fashionData/badSamples/img_00040883.jpg
17062,4.293,/home/sanchit/Desktop/app/Selfie-dataset/images/10249130_227519914113490_974718365_a.jpg
22871,4.459,/home/sanchit/Desktop/app/Selfie-dataset/images/10254349_616189125133742_242643491_a.jpg
