,Unnamed: 0,class,address
13876,26026,3.2430000000000003,/home/sanchit/Desktop/app/Selfie-dataset/images/1170539_725005477519549_346462952_a.jpg
13897,42842,3.7880000000000003,/home/sanchit/Desktop/app/Selfie-dataset/images/926730_1460170757550016_1082361816_a.jpg
7760,17412,5.263999999999999,/home/sanchit/Desktop/app/Selfie-dataset/images/10249155_546573712126939_2064090358_a.jpg
9959,25912,4.876,/home/sanchit/Desktop/app/Selfie-dataset/images/1170498_1464360647129098_342393890_a.jpg
6198,27957,3.832,/home/sanchit/Desktop/app/Selfie-dataset/images/1172152_1410629252538806_970495547_a.jpg
11523,24510,4.244,/home/sanchit/Desktop/app/Selfie-dataset/images/10261311_484925724940785_1364086423_a.jpg
1853,20359,4.919,/home/sanchit/Desktop/app/Selfie-dataset/images/10254083_1425737724350599_411857644_a.jpg
16624,1624,7.0,/home/sanchit/Desktop/app/img/img_00100738.jpg
12903,240,3.4819999999999998,/home/sanchit/Desktop/app/Selfie-dataset/images/10004255_455723071225461_865600501_a.jpg
383,15943,4.488,/home/sanchit/Desktop/app/Selfie-dataset/images/10246189_1489723707913511_2056615959_a.jpg
9699,17081,4.838,/home/sanchit/Desktop/app/Selfie-dataset/images/10249131_612896168796199_304951038_a.jpg
9725,21203,3.898,/home/sanchit/Desktop/app/Selfie-dataset/images/10254167_479731582152587_1658099177_a.jpg
5920,5454,4.196000000000001,/home/sanchit/Desktop/app/Selfie-dataset/images/10012516_573500442758138_206350784_a.jpg
2154,46627,4.125,/home/sanchit/Desktop/app/Selfie-dataset/images/b864a538adf411e3ba25129d09c8e96a_6.jpg
8502,33293,4.0,/home/sanchit/Desktop/app/Selfie-dataset/images/1516862_434271623384460_604952330_a.jpg
16549,1549,7.0,/home/sanchit/Desktop/app/img/img_00071652.jpg
13941,30208,4.687,/home/sanchit/Desktop/app/Selfie-dataset/images/1515197_242628219256927_1364930550_a.jpg
5842,15518,4.878,/home/sanchit/Desktop/app/Selfie-dataset/images/10246153_1438797203033285_1263082041_a.jpg
9175,17017,5.337999999999999,/home/sanchit/Desktop/app/Selfie-dataset/images/10249126_487189898076511_1782630971_a.jpg
14543,42680,4.015,/home/sanchit/Desktop/app/Selfie-dataset/images/926718_229854363873418_1902809667_a.jpg
3975,33933,4.431,/home/sanchit/Desktop/app/Selfie-dataset/images/1527567_1392468547699186_1351134023_a.jpg
1029,25372,4.83,/home/sanchit/Desktop/app/Selfie-dataset/images/1170122_281430245367276_671834389_a.jpg
16721,1721,7.0,/home/sanchit/Desktop/app/img/img_00063045.jpg
12775,44532,3.667,/home/sanchit/Desktop/app/Selfie-dataset/images/927917_498556813589234_1150822689_a.jpg
2390,45553,4.187,/home/sanchit/Desktop/app/Selfie-dataset/images/928500_714357061920540_2026004553_a.jpg
9615,19204,4.586,/home/sanchit/Desktop/app/Selfie-dataset/images/10251511_431658100303623_1594669396_a.jpg
5442,10512,3.8369999999999997,/home/sanchit/Desktop/app/Selfie-dataset/images/10175275_1414517962142410_870767017_a.jpg
9718,17558,4.869,/home/sanchit/Desktop/app/Selfie-dataset/images/10249167_1461850640716401_1787303304_a.jpg
11807,28794,4.394,/home/sanchit/Desktop/app/Selfie-dataset/images/1209638_776207015725260_1455953727_a.jpg
16377,1377,7.0,/home/sanchit/Desktop/app/img/img_00000053.jpg
10350,39180,3.7880000000000003,/home/sanchit/Desktop/app/Selfie-dataset/images/1963134_492357344224291_57870935_a.jpg
6633,46694,4.319,/home/sanchit/Desktop/app/Selfie-dataset/images/cfaa5eeaa6d811e3bcc112d8b4120fe7_6.jpg
761,22967,4.504,/home/sanchit/Desktop/app/Selfie-dataset/images/10261022_688811647841839_1157250320_a.jpg
11995,18735,4.065,/home/sanchit/Desktop/app/Selfie-dataset/images/10251475_323621381118971_2081543767_a.jpg
6144,5477,4.901,/home/sanchit/Desktop/app/Selfie-dataset/images/10012522_238624036261321_1702747596_a.jpg
7086,9716,4.614,/home/sanchit/Desktop/app/Selfie-dataset/images/10175207_506841402753314_622959802_a.jpg
5371,12976,4.868,/home/sanchit/Desktop/app/Selfie-dataset/images/10245957_1409451305990964_1476805683_a.jpg
10247,38472,4.026,/home/sanchit/Desktop/app/Selfie-dataset/images/1941074_741075659256888_1378807102_a.jpg
3643,34618,4.398,/home/sanchit/Desktop/app/Selfie-dataset/images/1527778_846973825329112_1550855752_a.jpg
7950,21224,4.2780000000000005,/home/sanchit/Desktop/app/Selfie-dataset/images/10254169_1408707606066839_17793388_a.jpg
13093,38307,3.947,/home/sanchit/Desktop/app/Selfie-dataset/images/1940986_230956620428476_408454855_a.jpg
14947,1046,4.163,/home/sanchit/Desktop/app/Selfie-dataset/images/10005546_287454961418749_509070660_a.jpg
6146,30703,4.599,/home/sanchit/Desktop/app/Selfie-dataset/images/1515700_1423432021240687_1860169759_a.jpg
13806,34475,3.6710000000000003,/home/sanchit/Desktop/app/Selfie-dataset/images/1527751_1423249464596611_1306730564_a.jpg
15714,714,7.0,/home/sanchit/Desktop/app/img/img_00035473.jpg
3133,30898,4.232,/home/sanchit/Desktop/app/Selfie-dataset/images/1515754_310808655734571_1024191598_a.jpg
10480,199,3.795,/home/sanchit/Desktop/app/Selfie-dataset/images/10004207_1410018259266227_1702725376_a.jpg
3275,29153,4.158,/home/sanchit/Desktop/app/Selfie-dataset/images/1388953_1389892914624540_949618194_a.jpg
13848,10389,4.888999999999999,/home/sanchit/Desktop/app/Selfie-dataset/images/10175264_260974704082076_1815278905_a.jpg
9354,18321,4.133,/home/sanchit/Desktop/app/Selfie-dataset/images/10251440_266199043551476_1738460859_a.jpg
1703,4470,4.666,/home/sanchit/Desktop/app/Selfie-dataset/images/10011405_477512539045227_1461741874_a.jpg
1599,41605,4.456,/home/sanchit/Desktop/app/Selfie-dataset/images/925842_499427650184065_68447615_a.jpg
6403,9100,5.934,/home/sanchit/Desktop/app/Selfie-dataset/images/10175154_598482426914956_1144581266_a.jpg
7235,16609,4.718999999999999,/home/sanchit/Desktop/app/Selfie-dataset/images/10249096_308653895948291_189043376_a.jpg
13749,44771,4.012,/home/sanchit/Desktop/app/Selfie-dataset/images/927936_275733002602140_20247923_a.jpg
8868,24939,4.387,/home/sanchit/Desktop/app/Selfie-dataset/images/1168846_305603449590370_590892470_a.jpg
16184,1184,7.0,/home/sanchit/Desktop/app/img/img_00103236.jpg
14250,42724,3.596,/home/sanchit/Desktop/app/Selfie-dataset/images/926722_1396092217335988_1290594073_a.jpg
16800,1800,7.0,/home/sanchit/Desktop/app/img/img_00036577.jpg
4290,6581,5.193,/home/sanchit/Desktop/app/Selfie-dataset/images/10013086_256470017858686_2059825793_a.jpg
826,17943,4.605,/home/sanchit/Desktop/app/Selfie-dataset/images/10251411_1419513848308101_1321233190_a.jpg
10687,20081,4.7989999999999995,/home/sanchit/Desktop/app/Selfie-dataset/images/10254052_637783446291276_1251183934_a.jpg
15050,50,7.0,/home/sanchit/Desktop/app/img/img_00049043.jpg
2797,6169,3.557,/home/sanchit/Desktop/app/Selfie-dataset/images/10013015_880207658671960_1969762122_a.jpg
8031,43293,4.438,/home/sanchit/Desktop/app/Selfie-dataset/images/927029_516132311829127_1339922147_a.jpg
12150,30876,4.628,/home/sanchit/Desktop/app/Selfie-dataset/images/1515748_290960667729515_1268491340_a.jpg
11966,42304,3.7969999999999997,/home/sanchit/Desktop/app/Selfie-dataset/images/926426_314673312014975_1128134666_a.jpg
5174,14566,4.49,/home/sanchit/Desktop/app/Selfie-dataset/images/10246080_225698167628991_1977665666_a.jpg
8160,33505,3.4989999999999997,/home/sanchit/Desktop/app/Selfie-dataset/images/1516937_423610364450411_564464788_a.jpg
3260,36872,4.988,/home/sanchit/Desktop/app/Selfie-dataset/images/1737764_622249051187775_1261001643_a.jpg
4677,20321,4.657,/home/sanchit/Desktop/app/Selfie-dataset/images/10254077_610114649082889_64408128_a.jpg
9981,36448,3.9210000000000003,/home/sanchit/Desktop/app/Selfie-dataset/images/1597435_1491488347740605_1092794829_a.jpg
14991,9499,4.865,/home/sanchit/Desktop/app/Selfie-dataset/images/10175190_1423130177936646_1649141992_a.jpg
